gene,source,comparison
ydgI,sanchez_vasquez,relA_overexpression_versus_control
deaD,sanchez_vasquez,relA_overexpression_versus_control
lysP,sanchez_vasquez,relA_overexpression_versus_control
sdaC,sanchez_vasquez,relA_overexpression_versus_control
plaP,sanchez_vasquez,relA_overexpression_versus_control
ygiQ,sanchez_vasquez,relA_overexpression_versus_control
yjcD,sanchez_vasquez,relA_overexpression_versus_control
epmA,sanchez_vasquez,relA_overexpression_versus_control
rsxC,sanchez_vasquez,relA_overexpression_versus_control
rsxB,sanchez_vasquez,relA_overexpression_versus_control
satP,sanchez_vasquez,relA_overexpression_versus_control
rsxA,sanchez_vasquez,relA_overexpression_versus_control
purP,sanchez_vasquez,relA_overexpression_versus_control
suhB,sanchez_vasquez,relA_overexpression_versus_control
xanP,sanchez_vasquez,relA_overexpression_versus_control
ydiY,sanchez_vasquez,relA_overexpression_versus_control
rapA,sanchez_vasquez,relA_overexpression_versus_control
rluA,sanchez_vasquez,relA_overexpression_versus_control
yihG,sanchez_vasquez,relA_overexpression_versus_control
yhbE,sanchez_vasquez,relA_overexpression_versus_control
sdaB,sanchez_vasquez,relA_overexpression_versus_control
dnaG,sanchez_vasquez,relA_overexpression_versus_control
rluB,sanchez_vasquez,relA_overexpression_versus_control
yegQ,sanchez_vasquez,relA_overexpression_versus_control
purL,sanchez_vasquez,relA_overexpression_versus_control
tsaB,sanchez_vasquez,relA_overexpression_versus_control
pheP,sanchez_vasquez,relA_overexpression_versus_control
ybiP,sanchez_vasquez,relA_overexpression_versus_control
mrcA,sanchez_vasquez,relA_overexpression_versus_control
murJ,sanchez_vasquez,relA_overexpression_versus_control
mntP,sanchez_vasquez,relA_overexpression_versus_control
purM,sanchez_vasquez,relA_overexpression_versus_control
rplA,sanchez_vasquez,relA_overexpression_versus_control
rplK,sanchez_vasquez,relA_overexpression_versus_control
panF,sanchez_vasquez,relA_overexpression_versus_control
obgE,sanchez_vasquez,relA_overexpression_versus_control
gluQ,sanchez_vasquez,relA_overexpression_versus_control
pyrD,sanchez_vasquez,relA_overexpression_versus_control
rimO,sanchez_vasquez,relA_overexpression_versus_control
infA,sanchez_vasquez,relA_overexpression_versus_control
potA,sanchez_vasquez,relA_overexpression_versus_control
rhlE,sanchez_vasquez,relA_overexpression_versus_control
queA,sanchez_vasquez,relA_overexpression_versus_control
rlmF,sanchez_vasquez,relA_overexpression_versus_control
rlmG,sanchez_vasquez,relA_overexpression_versus_control
rnpA,sanchez_vasquez,relA_overexpression_versus_control
purK,sanchez_vasquez,relA_overexpression_versus_control
cvpA,sanchez_vasquez,relA_overexpression_versus_control
potB,sanchez_vasquez,relA_overexpression_versus_control
purE,sanchez_vasquez,relA_overexpression_versus_control
dusC,sanchez_vasquez,relA_overexpression_versus_control
yidD,sanchez_vasquez,relA_overexpression_versus_control
yhhQ,sanchez_vasquez,relA_overexpression_versus_control
yfcJ,sanchez_vasquez,relA_overexpression_versus_control
yhdT,sanchez_vasquez,relA_overexpression_versus_control
acrS,sanchez_vasquez,relA_overexpression_versus_control
fadL,sanchez_vasquez,relA_overexpression_versus_control
yhfZ,sanchez_vasquez,relA_overexpression_versus_control
rpsF,sanchez_vasquez,relA_overexpression_versus_control
ymfA,sanchez_vasquez,relA_overexpression_versus_control
yjjZ,sanchez_vasquez,relA_overexpression_versus_control
yeaI,sanchez_vasquez,relA_overexpression_versus_control
yfdX,sanchez_vasquez,relA_overexpression_versus_control
tsgA,sanchez_vasquez,relA_overexpression_versus_control
ynbB,sanchez_vasquez,relA_overexpression_versus_control
yncH,sanchez_vasquez,relA_overexpression_versus_control
ybfK,sanchez_vasquez,relA_overexpression_versus_control
ybcO,sanchez_vasquez,relA_overexpression_versus_control
cmtB,sanchez_vasquez,relA_overexpression_versus_control
yehC,sanchez_vasquez,relA_overexpression_versus_control
valT,sanchez_vasquez,relA_overexpression_versus_control
valU,sanchez_vasquez,relA_overexpression_versus_control
valX,sanchez_vasquez,relA_overexpression_versus_control
valY,sanchez_vasquez,relA_overexpression_versus_control
valZ,sanchez_vasquez,relA_overexpression_versus_control
yrbN,sanchez_vasquez,relA_overexpression_versus_control
metT,sanchez_vasquez,relA_overexpression_versus_control
metU,sanchez_vasquez,relA_overexpression_versus_control
leuW,sanchez_vasquez,relA_overexpression_versus_control
ydcX,sanchez_vasquez,relA_overexpression_versus_control
lysQ,sanchez_vasquez,relA_overexpression_versus_control
lysT,sanchez_vasquez,relA_overexpression_versus_control
lysV,sanchez_vasquez,relA_overexpression_versus_control
lysW,sanchez_vasquez,relA_overexpression_versus_control
lysY,sanchez_vasquez,relA_overexpression_versus_control
lysZ,sanchez_vasquez,relA_overexpression_versus_control
rttR,sanchez_vasquez,relA_overexpression_versus_control
tyrT,sanchez_vasquez,relA_overexpression_versus_control
tyrV,sanchez_vasquez,relA_overexpression_versus_control
ileT,sanchez_vasquez,relA_overexpression_versus_control
ileU,sanchez_vasquez,relA_overexpression_versus_control
ileV,sanchez_vasquez,relA_overexpression_versus_control
yoeI,sanchez_vasquez,relA_overexpression_versus_control
rzoD,sanchez_vasquez,relA_overexpression_versus_control
glyU,sanchez_vasquez,relA_overexpression_versus_control
selC,sanchez_vasquez,relA_overexpression_versus_control
rrfB,sanchez_vasquez,relA_overexpression_versus_control
rrfE,sanchez_vasquez,relA_overexpression_versus_control
hokC,sanchez_vasquez,relA_overexpression_versus_control
sokC,sanchez_vasquez,relA_overexpression_versus_control
ibsA,sanchez_vasquez,relA_overexpression_versus_control
rdlC,sanchez_vasquez,relA_overexpression_versus_control
ileX,sanchez_vasquez,relA_overexpression_versus_control
thrV,sanchez_vasquez,relA_overexpression_versus_control
symR,sanchez_vasquez,relA_overexpression_versus_control
yqeL,sanchez_vasquez,relA_overexpression_versus_control
agrA,sanchez_vasquez,relA_overexpression_versus_control
rseX,sanchez_vasquez,relA_overexpression_versus_control
ymiB,sanchez_vasquez,relA_overexpression_versus_control
micC,sanchez_vasquez,relA_overexpression_versus_control
rrfC,sanchez_vasquez,relA_overexpression_versus_control
rrfD,sanchez_vasquez,relA_overexpression_versus_control
rrfG,sanchez_vasquez,relA_overexpression_versus_control
rrfH,sanchez_vasquez,relA_overexpression_versus_control
safA,sanchez_vasquez,relA_overexpression_versus_control
