gene,ratio,log2FC_treitz,Acetate,Glucose,log2FC_schmidt,avg_exp,category
ytfq,7.6328085215901265,2.932214,529.3430445780774,99.14814433994474,2.404790158143925,314.24559445901104,Concordant
fadb,5.481728971600929,2.454631,611.3090935789804,173.43056640090893,1.8116072356962087,392.36982998994466,Concordant
psug,5.332340841595675,2.414769,26.70482524708942,7.0857805487706935,1.77667831307618,16.89530289793006,Concordant
uspf,5.222211905040053,2.384661,3198.9851182961356,1378.1824318789957,1.21425189328923,2288.5837750875658,Concordant
tnaa,4.837135661715681,2.274153,2409.3430200869548,613.2434420341428,1.9723560186353757,1511.2932310605488,Concordant
mhpr,4.790854503451598,2.260283,88.15343724810315,11.387420255752836,2.8474146509500695,49.770428751927994,Concordant
aspa,4.267892979513563,2.093524,780.3149211220446,110.16136028162224,2.8132487722295076,445.2381407018334,Concordant
mglb,4.164224936628802,2.058048,19550.98210163877,3223.2180985208943,2.6002936278674156,11387.100100079831,Concordant
pcka,4.115449459712217,2.04105,7096.865889638329,1147.2258900948227,2.6279788248613656,4122.045889866576,Concordant
acs,3.889185371362029,1.959468,6590.128105917588,994.7747093259724,2.726634131709502,3792.45140762178,Concordant
fadh,3.8566360351966127,1.947343,183.93402808454425,42.749237674978694,2.0796809233023854,113.34163287976148,Concordant
glcf,3.752876982106273,1.907997,31.956249399512245,0.2664560545445135,4.701683143155584,16.11135272702838,Concordant
puua,3.6484229848531946,1.867273,282.81380276916167,122.15196595158068,1.2045050952986651,202.48288436037117,Concordant
agp,3.644343632059136,1.865659,1380.4358681744463,501.30949009533384,1.4595201508730111,940.87267913489,Concordant
araf,3.592454787761806,1.84497,144.92946222023156,34.956767924545986,2.020935932434168,89.94311507238876,Concordant
dcta,3.5576140317167133,1.83091,207.2887607502481,36.82094316129543,2.4613277476213087,122.05485195577177,Concordant
fadi,3.445009592343854,1.784508,131.2228132453436,22.51157387582727,2.491528093677742,76.86719356058543,Concordant
csta,3.4128003056530076,1.770956,1951.6610440991933,360.58107669344815,2.43305045679797,1156.121060396321,Concordant
rbsb,3.3290810619005855,1.735124,13629.529995307525,5038.316562961157,1.4355416670899943,9333.92327913434,Concordant
gatc,3.2669672671526535,1.707952,2413.5294177525784,580.379053136329,2.05419104311615,1496.9542354444538,Concordant
acea,3.232736682979235,1.692756,242737.13120187097,28173.349674668905,3.106946540746465,135455.24043826992,Concordant
argt,3.1228061153497637,1.642843,12700.474809074987,6161.2916900677055,1.0434571440775269,9430.883249571349,Concordant
pspe,3.1207504561977815,1.641893,351.6768596624483,116.23180469607382,1.5889828962759704,233.95433217926103,Concordant
yebv,3.027699448471741,1.598222,3554.691284051244,1368.9755240724917,1.375979952142238,2461.833404061868,Concordant
yeht,3.013549996253199,1.591464,9.054199067187673,1.7367380255439884,1.8772689146038897,5.39546854636583,Concordant
frda,2.820449293171852,1.495925,105.31980865341306,36.55224005847713,1.5014395385063892,70.9360243559451,Concordant
maeb,2.793649447579328,1.482151,1503.5234806304384,468.8215708109128,1.6791217644275085,986.1725257206756,Concordant
yden,2.759354854556401,1.464331,135.69893800414093,13.607739583705063,3.226197178436584,74.653338793923,Concordant
aceb,2.7359692203540544,1.452052,20349.98730063661,4392.5737695254575,2.211631964017803,12371.280535081034,Concordant
gpr,2.722230066696774,1.444789,829.9359647378808,167.22136696500024,2.3043763374502895,498.5786658514405,Concordant
rbsc,2.718860252951502,1.443002,21.504021339430125,6.280807102788577,1.6280125336367175,13.892414221109352,Concordant
gatb,2.708156289114323,1.437311,38599.506994400515,6457.543833470519,2.5793389650671745,22528.525413935517,Concordant
glcg,2.695967304017874,1.430803,2049.734054673175,148.3334889628342,3.779530770744201,1099.0337718180044,Concordant
alda,2.6855358861532035,1.42521,17217.310810202343,3501.3707949367817,2.2975398804768457,10359.340802569564,Concordant
dadx,2.6828157931117165,1.423748,141.5263743441431,27.841960921009814,2.304987753399705,84.68416763257646,Concordant
fuco,2.6767214233628067,1.420467,211.07141303427767,41.34531250871699,2.324275978696382,126.20836277149732,Concordant
glcb,2.5956952278074343,1.376121,2376.6577732777746,282.3247614290777,3.069012478591512,1329.491267353426,Concordant
hdea,2.560458187595072,1.356402,34972.817167994916,2098.865380036001,4.05790651910436,18535.84127401546,Concordant
ydch,2.554524902929845,1.353055,40.92503540113799,0.7521100316015376,4.580646718592151,20.838572716369764,Concordant
aldb,2.516378603085314,1.331349,1711.070677930833,588.5719356795098,1.5380025033060465,1149.8213068051714,Concordant
actp,2.510582266739818,1.328022,335.7659675012463,40.44796094921234,3.0223733170350453,188.10696422522932,Concordant
gatz,2.482276799782646,1.311664,11765.921933875054,1413.1140287354392,3.056766617052755,6589.517981305246,Concordant
ynje,2.4785545308654857,1.309499,40.40306882846075,16.780776746629925,1.2194193562526214,28.59192278754534,Concordant
yede,2.4627616358890316,1.300277,54.598161265889395,23.280674540198344,1.1952286695534609,38.93941790304387,Concordant
cspd,2.374317715812516,1.247513,2723.773621910315,1247.257186879709,1.1262211606473205,1985.515404395012,Concordant
ydcs,2.36314966140969,1.240711,290.74980351043473,82.38804491969701,1.806819215315282,186.56892421506583,Concordant
fadj,2.3627811377794266,1.240486,96.67726864433024,24.18575556392336,1.9554148467205632,60.43151210412681,Concordant
glta,2.349791906705315,1.232533,34014.03442645483,9671.399160640363,1.8142268611775307,21842.7167935476,Concordant
bfr,2.319816996664155,1.214011,8229.352158667978,3413.026725359587,1.2694798097374012,5821.189442013782,Concordant
ygis,2.309446299102838,1.207547,113.4588558,47.37183576,1.2425898943501394,80.41534578,Concordant
mgla,2.262103594507976,1.177665,114.53107901430435,25.331326626733524,2.1334288889393784,69.93120282051895,Concordant
gatd,2.2588398681729127,1.175582,1085.24810100458,128.3188826086441,3.0703488028927417,606.7834918066121,Concordant
gata,2.2225085975717676,1.152189,22655.912053939493,5670.827117185988,1.9980657837774096,14163.36958556274,Concordant
gaty,2.205590563528742,1.141165,38994.87131339941,4938.950902576392,2.9807527785035663,21966.9111079879,Concordant
ompw,2.1872907405115773,1.129145,89.46186250597674,27.538220413005128,1.664414325702528,58.50004145949093,Concordant
fuma,2.132589072075774,1.092606,4783.208862298841,1351.507667156152,1.822643601583417,3067.3582647274966,Concordant
yedf,2.129941785539719,1.090814,1875.1577109216096,686.5748677542213,1.448192389261271,1280.8662893379155,Concordant
rbsd,2.080645240558492,1.057031,576.9606610403633,177.06104207368531,1.698599394747588,377.0108515570243,Concordant
hdeb,2.056250457732995,1.040016,1751.0436002218464,74.97639878444475,4.527343536007533,913.0099995031457,Concordant
stha,2.024188997464312,1.017344,1315.0837366407252,444.53733881450415,1.5626330355659324,879.8105377276147,Concordant
